TARİHİ,AÇIKLAMA,TUTAR,TAKSİT BİLGİSİ,MAXIMIL,MAXIPUAN
2024-10-12 00:00:00,"SELF GIDA SANAYI VE TICISTANBUL TR KAZANILAN MAXİMİL:3,60",240,3.6
2024-10-12 00:00:00,"SABANCI ÜNİVERSİTESİ İSTANBUL TR KAZANILAN MAXİMİL:7,50",500,7.5
2024-10-12 00:00:00,"SELF GIDA SANAYI VE TICISTANBUL TR KAZANILAN MAXİMİL:3,76",250,3.76
2024-10-12 00:00:00,"PARAM/ /YEMEKSEPETI ISTANBUL TR KAZANILAN MAXİMİL:2,84",189.9,2.84
2024-10-12 00:00:00,"MIGROS WATERGARDENAVMISTANBULTRKAZANILANMAXİMİL:1,16 MAXİP",77,1.16,0.01
2024-10-12 00:00:00,"KFCWATERGARDENISTANBUISTANBULTRKAZANILANMAXİMİL:4,68 MAXİPUAN:0,04",312,4.68,0.04
2024-10-12 00:00:00,"GLORIA JEANS ISTANBUL TU KAZANILAN MAXİMİL:1,34",89,1.34
2024-10-12 00:00:00,"KAPAKS İSTANBUL TR KAZANILAN MAXİMİL:0,70",350,0.7
2024-10-12 00:00:00,"HOLLYWOOD PES CAFE BİLAİSTANBUL TR KAZANILAN MAXİMİL:1,50",100,1.5
2024-10-12 00:00:00,"PARAM/ /YEMEKSEPETI ISTANBUL TR KAZANILAN MAXİMİL:3,84",256,3.84
2024-10-13 00:00:00,"PARAM/ /YEMEKSEPE-MAXİPUAN İLAVE:0,02",0.02
2024-10-13 00:00:00,"IRMAK TEKEL İSTANBUL TR KAZANILAN MAXİMİL:1,20",80,1.2
2024-10-13 00:00:00,"MEHMED KAYA ISTANBUL TR KAZANILAN MAXİMİL:4,80",320,4.8
2024-10-13 00:00:00,"COFFY İDEALTEPE İSTANBUL TR KAZANILAN MAXİMİL:0,90",60,0.9
2024-10-13 00:00:00,"MEKTEP BUFE ISTANBUL TU KAZANILAN MAXİMİL:4,20",280,4.2
2024-10-14 00:00:00,"PARAM/ /YEMEKSEPE-MAXİPUAN İLAVE:0,03",0.03
2024-10-14 00:00:00,"SELF GIDA SANAYI VE TICISTANBUL TR KAZANILAN MAXİMİL:2,26",150,2.26
2024-10-14 00:00:00,"İNTİBA İSTANBUL TR KAZANILAN MAXİMİL:8,70",580,8.7
2024-10-15 00:00:00,"KÖPÜKLÜ KAHVE GIDA İSTANBUL TR KAZANILAN MAXİMİL:4,12",275,4.12
2024-10-15 00:00:00,"7036 ISTANBULSABANCIUISTANBULTRKAZANILANMAXİMİL:1,16 MAXİPUAN:0,01",77.4,1.16,0.01
2024-10-15 00:00:00,"ATLI OTOMOTİV İSTANBUL TR KAZANILAN MAXİMİL:3,52",234,3.52
2024-10-15 00:00:00,"MCDONALDSSEKERPINARDKOCAELITRKAZANILANMAXİMİL:3,90 MAXİPUAN:0,03",260,3.9,0.03
2024-10-16 00:00:00,"KÖPÜKLÜ KAHVE GIDA İSTANBUL TR KAZANILAN MAXİMİL:3,00",200,3
2024-10-16 00:00:00,"ATLI OTOMOTİV İSTANBUL TR KAZANILAN MAXİMİL:1,16",77,1.16
2024-10-16 00:00:00,"SIMIT SARAYI SABANCI ÜNİSTANBUL TR KAZANILAN MAXİMİL:0,28",18,0.28
2024-10-16 00:00:00,"SABANCI ÜNİVERSİTESİ İSTANBUL TR KAZANILAN MAXİMİL:7,50",500,7.5
2024-10-16 00:00:00,"PUCCİ BAR İSTANBUL TR KAZANILAN MAXİMİL:2,60",173,2.6
2024-10-17 00:00:00,"MIGROS ONE ISTANBUL TR KAZANILAN MAXİMİL:3,88",259,3.88
2024-10-17 00:00:00,"ATLI OTOMOTİV İSTANBUL TR KAZANILAN MAXİMİL:2,32",154,2.32
2024-10-18 00:00:00,"SELF GIDA SANAYI VE TICISTANBUL TR KAZANILAN MAXİMİL:2,26",150,2.26
2024-10-18 00:00:00,"KUCUK EV ISTANBUL TR KAZANILAN MAXİMİL:4,06",270.9,4.06
2024-10-18 00:00:00,"MERTER ROASTERY İSTANBUL TR KAZANILAN MAXİMİL:1,42",95,1.42
2024-10-18 00:00:00,"TSD TEKNOLOJİ İSTANBUL TR KAZANILAN MAXİMİL:3,30",220,3.3
2024-10-19 00:00:00,"7036 İSTANBUL SABANCI ÜİSTANBUL TR KAZANILAN MAXİMİL:5,84",389,5.84
2024-10-19 00:00:00,"KURTKÖY LENS DÜRÜMLE İSTANBUL TR KAZANILAN MAXİMİL:3,60",240,3.6
2024-10-19 00:00:00,"CAFFE NERO-LENS İSTANBUİSTANBUL TR KAZANILAN MAXİMİL:1,30",87,1.3
2024-10-19 00:00:00,"BEYAZ ULASIM VE ENERJI ISTANBUL TU KAZANILAN MAXİMİL:0,76",50,0.76
2024-10-19 00:00:00,"TANTUNİ TAN İSTANBUL TR KAZANILAN MAXİMİL:4,42",295,4.42
2024-10-19 00:00:00,"CADDE 233 KAFE RESTORANISTANBUL TU KAZANILAN MAXİMİL:1,36",90,1.36
2024-10-19 00:00:00,"DOST BÜFE 2 İSTANBUL TR KAZANILAN MAXİMİL:2,26",151,2.26
2024-10-20 00:00:00,"ESKİ HAL CAFE BAR İSTANBUL TR KAZANILAN MAXİMİL:12,90",860,12.9
2024-10-20 00:00:00,"SAHANDA KAHVALTI ISTANBUL TR KAZANILAN MAXİMİL:4,72",315,4.72
2024-10-20 00:00:00,"ARDEN TİCARET ARDEN İSTANBUL TR KAZANILAN MAXİMİL:0,16",80,0.16
